DATE,YEAR,MO,DY,CITY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2010-01-27,2010,1,27,Bengaluru,5.7622,22.1,66.61,2.55
2010-01-28,2010,1,28,Bengaluru,5.7269,22.38,64.79,3.24
2010-01-29,2010,1,29,Bengaluru,6.0691,22.35,61.52,2.8
2010-01-30,2010,1,30,Bengaluru,6.2138,22.19,58.4,2.3
2010-01-31,2010,1,31,Bengaluru,5.6491,22.73,58.68,1.66
2010-02-01,2010,2,1,Bengaluru,5.855,22.17,58.47,2.34
2010-02-02,2010,2,2,Bengaluru,6.181,21.9,56.01,2.9
2010-02-03,2010,2,3,Bengaluru,6.431,21.8,53.02,2.81
2010-02-04,2010,2,4,Bengaluru,6.4841,20.94,51.67,2.76
2010-02-05,2010,2,5,Bengaluru,6.5827,21.42,53.26,2.93
2010-02-06,2010,2,6,Bengaluru,6.4754,20.97,53.38,3.63
2010-02-07,2010,2,7,Bengaluru,5.7768,21.48,60.69,3.32
2010-02-08,2010,2,8,Bengaluru,6.3175,22.24,52.27,2.51
2010-02-09,2010,2,9,Bengaluru,6.5107,23.18,51.25,1.41
2010-02-10,2010,2,10,Bengaluru,6.4087,24.13,53.26,2.82
2010-02-11,2010,2,11,Bengaluru,5.0196,24.81,54.66,2.7
2010-02-12,2010,2,12,Bengaluru,5.8471,25.38,55.48,2.43
2010-02-13,2010,2,13,Bengaluru,6.3679,25.89,51.44,2.82
2010-02-14,2010,2,14,Bengaluru,6.4973,25.17,48.33,2.03
2010-02-15,2010,2,15,Bengaluru,6.5645,25.49,50.65,3.2
2010-02-16,2010,2,16,Bengaluru,6.4178,25.06,47.49,2.97
2010-02-17,2010,2,17,Bengaluru,6.7747,25.7,50.34,2.48
2010-02-18,2010,2,18,Bengaluru,6.509,25.59,43.55,2.25
2010-02-19,2010,2,19,Bengaluru,6.5885,26.04,34.73,2.69
2010-02-20,2010,2,20,Bengaluru,6.6024,25.88,42.46,2.56
2010-02-21,2010,2,21,Bengaluru,6.2462,26.05,48.65,2.33
2010-02-22,2010,2,22,Bengaluru,6.8455,26.19,45.96,2.38
2010-02-23,2010,2,23,Bengaluru,6.738,26.55,46.72,2.21
2010-02-24,2010,2,24,Bengaluru,5.9342,27.68,43.17,1.37
2010-02-25,2010,2,25,Bengaluru,5.9988,27.82,42.24,2.24
2010-02-26,2010,2,26,Bengaluru,5.7221,27.29,41.63,1.9
2010-02-27,2010,2,27,Bengaluru,6.4097,27.63,38.31,2.25
2010-02-28,2010,2,28,Bengaluru,6.9722,26.55,41.52,2.93
2010-03-01,2010,3,1,Bengaluru,7.2005,25.86,35.53,2.71
2010-03-02,2010,3,2,Bengaluru,7.1844,25.73,35.87,2.96
2010-03-03,2010,3,3,Bengaluru,6.8882,25.89,29.2,1.65
2010-03-04,2010,3,4,Bengaluru,6.8222,26.56,31.14,1.7
2010-03-05,2010,3,5,Bengaluru,6.719,27.61,32.93,1.91
2010-03-06,2010,3,6,Bengaluru,6.0535,28.94,33.49,1.19
2010-03-07,2010,3,7,Bengaluru,6.389,29.56,34.67,2.18
2010-03-08,2010,3,8,Bengaluru,6.5645,28.85,40.62,3.44
2010-03-09,2010,3,9,Bengaluru,7.3104,27.89,37.61,3.46
2010-03-10,2010,3,10,Bengaluru,7.1664,27.14,43.84,3.66
2010-03-11,2010,3,11,Bengaluru,6.8378,27.03,46.81,4.11
2010-03-12,2010,3,12,Bengaluru,7.2605,26.19,47.92,3.84
2010-03-13,2010,3,13,Bengaluru,5.67,27.28,40.14,2.9
2010-03-14,2010,3,14,Bengaluru,6.2798,26.98,40.64,1.84
2010-03-15,2010,3,15,Bengaluru,6.4421,29.25,36.77,2.22
2010-03-16,2010,3,16,Bengaluru,6.0773,29.49,35.29,3.04
2010-03-17,2010,3,17,Bengaluru,6.7598,27.02,36.07,3.08
2010-03-18,2010,3,18,Bengaluru,7.0848,26.22,38.43,3.75
2010-03-19,2010,3,19,Bengaluru,7.0339,26.26,38.4,2.96
2010-03-20,2010,3,20,Bengaluru,6.911,27.57,35.41,2.9
2010-03-21,2010,3,21,Bengaluru,7.098,27.98,27.33,2.93
2010-03-22,2010,3,22,Bengaluru,7.169,27.72,23.77,2.67
2010-03-23,2010,3,23,Bengaluru,7.1582,27.74,28.62,2.82
2010-03-24,2010,3,24,Bengaluru,7.1424,27.84,32.71,2.98
2010-03-25,2010,3,25,Bengaluru,7.0529,27.94,33.92,3.41
2010-03-26,2010,3,26,Bengaluru,6.7202,28.01,42.22,2.96
2010-03-27,2010,3,27,Bengaluru,5.9086,29.15,48.45,3.07
2010-03-28,2010,3,28,Bengaluru,6.163,29.83,48.11,3.33
2010-03-29,2010,3,29,Bengaluru,6.353,30.11,42.54,2.42
2010-03-30,2010,3,30,Bengaluru,6.3204,30.51,40.1,2.31
2010-03-31,2010,3,31,Bengaluru,4.3046,27.17,53.28,1.16
2010-04-01,2010,4,1,Bengaluru,7.0848,28.86,36.18,2.91
2010-04-02,2010,4,2,Bengaluru,6.7783,30.07,28.29,1.57
2010-04-03,2010,4,3,Bengaluru,6.5806,31.1,40.05,2.96
2010-04-04,2010,4,4,Bengaluru,6.6562,30.53,38.69,3.64
2010-04-05,2010,4,5,Bengaluru,7.301,29.24,39.05,2.94
2010-04-06,2010,4,6,Bengaluru,6.9773,28.7,48.98,3.0
2010-04-07,2010,4,7,Bengaluru,7.2742,30.25,37.64,3.08
2010-04-08,2010,4,8,Bengaluru,5.3431,29.59,41.44,2.92
2010-04-09,2010,4,9,Bengaluru,7.4038,30.62,35.53,1.79
2010-04-10,2010,4,10,Bengaluru,7.0306,30.62,33.59,0.9
2010-04-11,2010,4,11,Bengaluru,6.9482,30.28,30.44,1.68
2010-04-12,2010,4,12,Bengaluru,6.137,28.78,49.79,1.47
2010-04-13,2010,4,13,Bengaluru,6.4999,27.36,65.02,1.49
2010-04-14,2010,4,14,Bengaluru,6.1073,26.75,66.91,0.55
2010-04-15,2010,4,15,Bengaluru,6.4502,27.66,62.76,1.65
2010-04-16,2010,4,16,Bengaluru,7.0289,27.75,54.77,1.77
2010-04-17,2010,4,17,Bengaluru,6.8174,28.47,56.36,2.18
2010-04-18,2010,4,18,Bengaluru,6.0756,26.5,68.89,1.7
2010-04-19,2010,4,19,Bengaluru,6.5114,25.54,73.74,1.43
2010-04-20,2010,4,20,Bengaluru,6.5374,25.95,68.14,1.94
2010-04-21,2010,4,21,Bengaluru,6.6562,25.72,72.31,1.83
2010-04-22,2010,4,22,Bengaluru,6.7867,27.71,60.91,0.89
2010-04-23,2010,4,23,Bengaluru,7.0879,27.75,58.0,1.57
2010-04-24,2010,4,24,Bengaluru,5.9801,27.52,63.5,1.05
2010-04-25,2010,4,25,Bengaluru,6.9473,27.22,63.33,1.26
2010-04-26,2010,4,26,Bengaluru,6.7157,27.82,55.44,3.21
2010-04-27,2010,4,27,Bengaluru,6.8609,27.09,62.4,2.18
2010-04-28,2010,4,28,Bengaluru,6.5508,27.41,61.47,1.36
2010-04-29,2010,4,29,Bengaluru,6.745,26.91,64.71,1.48
2010-04-30,2010,4,30,Bengaluru,5.5908,25.0,71.99,1.86
2010-05-01,2010,5,1,Bengaluru,6.7675,24.96,65.62,1.22
2010-05-02,2010,5,2,Bengaluru,6.521,25.47,63.38,0.92
2010-05-03,2010,5,3,Bengaluru,6.9715,26.23,66.7,1.08
2010-05-04,2010,5,4,Bengaluru,6.6948,26.38,68.22,1.66
2010-05-05,2010,5,5,Bengaluru,6.786,27.82,61.33,1.36
2010-05-06,2010,5,6,Bengaluru,7.2048,28.39,61.54,1.84
2010-05-07,2010,5,7,Bengaluru,6.7226,29.18,58.19,2.63
2010-05-08,2010,5,8,Bengaluru,6.4315,28.83,58.4,2.12
2010-05-09,2010,5,9,Bengaluru,6.4272,28.08,61.77,1.5
2010-05-10,2010,5,10,Bengaluru,6.5172,28.63,62.64,1.54
2010-05-11,2010,5,11,Bengaluru,6.6955,28.06,63.77,2.33
2010-05-12,2010,5,12,Bengaluru,6.726,28.55,63.05,1.62
2010-05-13,2010,5,13,Bengaluru,6.7282,29.95,57.18,1.14
2010-05-14,2010,5,14,Bengaluru,6.5107,28.41,64.38,1.51
2010-05-15,2010,5,15,Bengaluru,6.3775,28.9,62.18,1.62
2010-05-16,2010,5,16,Bengaluru,5.8267,27.57,66.7,1.62
2010-05-17,2010,5,17,Bengaluru,6.7147,26.95,71.05,2.15
2010-05-18,2010,5,18,Bengaluru,5.7295,26.28,73.94,1.48
2010-05-19,2010,5,19,Bengaluru,2.0153,24.38,86.19,3.71
2010-05-20,2010,5,20,Bengaluru,3.3182,24.71,80.85,5.02
2010-05-21,2010,5,21,Bengaluru,3.1894,25.35,76.1,5.49
2010-05-22,2010,5,22,Bengaluru,6.4445,25.93,73.99,4.14
2010-05-23,2010,5,23,Bengaluru,6.8587,25.06,78.2,3.16
2010-05-24,2010,5,24,Bengaluru,6.9624,26.29,73.01,3.82
2010-05-25,2010,5,25,Bengaluru,6.8722,26.01,72.37,3.82
2010-05-26,2010,5,26,Bengaluru,6.6463,25.11,77.8,4.24
2010-05-27,2010,5,27,Bengaluru,7.4105,27.19,63.88,4.26
2010-05-28,2010,5,28,Bengaluru,7.3774,27.29,65.25,3.81
2010-05-29,2010,5,29,Bengaluru,7.0526,26.84,69.71,4.04
2010-05-30,2010,5,30,Bengaluru,6.569,24.84,74.64,4.29
2010-05-31,2010,5,31,Bengaluru,6.8676,24.96,76.08,3.83
2010-06-01,2010,6,1,Bengaluru,7.0704,26.57,69.83,3.2
2010-06-02,2010,6,2,Bengaluru,6.9598,26.76,70.46,2.85
2010-06-03,2010,6,3,Bengaluru,6.9067,25.68,73.09,2.96
2010-06-04,2010,6,4,Bengaluru,6.4354,25.37,76.3,2.66
2010-06-05,2010,6,5,Bengaluru,5.5426,24.39,75.53,3.2
2010-06-06,2010,6,6,Bengaluru,4.9481,21.9,82.59,4.7
2010-06-07,2010,6,7,Bengaluru,4.5718,22.9,78.63,4.27
2010-06-08,2010,6,8,Bengaluru,5.7926,23.16,76.55,3.63
2010-06-09,2010,6,9,Bengaluru,4.9944,24.03,80.53,2.84
2010-06-10,2010,6,10,Bengaluru,4.1066,23.92,80.81,2.08
2010-06-11,2010,6,11,Bengaluru,4.1947,24.63,75.37,1.08
2010-06-12,2010,6,12,Bengaluru,4.2636,23.71,83.71,3.75
2010-06-13,2010,6,13,Bengaluru,4.2322,24.27,80.58,4.57
2010-06-14,2010,6,14,Bengaluru,4.0642,23.78,77.85,5.39
2010-06-15,2010,6,15,Bengaluru,4.2624,23.56,77.76,5.18
2010-06-16,2010,6,16,Bengaluru,5.6885,23.37,79.85,3.87
2010-06-17,2010,6,17,Bengaluru,4.0764,24.01,77.6,4.65
2010-06-18,2010,6,18,Bengaluru,4.2542,23.43,77.52,4.69
2010-06-19,2010,6,19,Bengaluru,5.615,24.61,75.74,3.98
2010-06-20,2010,6,20,Bengaluru,6.0643,24.02,79.66,3.0
2010-06-21,2010,6,21,Bengaluru,5.5846,24.07,77.84,2.47
2010-06-22,2010,6,22,Bengaluru,6.3828,24.16,79.35,3.68
2010-06-23,2010,6,23,Bengaluru,4.9128,24.49,74.3,5.06
2010-06-24,2010,6,24,Bengaluru,4.6774,22.66,79.81,5.49
2010-06-25,2010,6,25,Bengaluru,4.8914,23.26,75.08,5.68
2010-06-26,2010,6,26,Bengaluru,5.1797,24.53,76.02,5.27
2010-06-27,2010,6,27,Bengaluru,6.2376,24.92,75.22,4.36
2010-06-28,2010,6,28,Bengaluru,5.585,25.52,72.32,4.14
2010-06-29,2010,6,29,Bengaluru,6.3965,25.31,74.54,4.05
2010-06-30,2010,6,30,Bengaluru,5.6518,23.89,76.65,5.29
2010-07-01,2010,7,1,Bengaluru,4.1383,21.87,78.56,5.2
2010-07-02,2010,7,2,Bengaluru,3.99,22.49,73.4,5.6
2010-07-03,2010,7,3,Bengaluru,4.2014,22.82,75.44,5.74
2010-07-04,2010,7,4,Bengaluru,5.5078,22.96,77.4,4.38
2010-07-05,2010,7,5,Bengaluru,4.002,21.83,78.58,4.65
2010-07-06,2010,7,6,Bengaluru,3.959,22.18,81.39,4.19
2010-07-07,2010,7,7,Bengaluru,4.1777,22.12,80.05,3.42
2010-07-08,2010,7,8,Bengaluru,4.5854,22.54,79.26,1.94
2010-07-09,2010,7,9,Bengaluru,5.0074,21.55,83.61,1.57
2010-07-10,2010,7,10,Bengaluru,5.809,24.24,77.23,0.88
2010-07-11,2010,7,11,Bengaluru,6.2902,24.37,79.77,1.19
2010-07-12,2010,7,12,Bengaluru,5.4192,23.44,83.75,2.31
2010-07-13,2010,7,13,Bengaluru,5.2346,23.39,77.03,3.08
2010-07-14,2010,7,14,Bengaluru,6.0857,23.85,72.92,3.75
2010-07-15,2010,7,15,Bengaluru,5.8594,23.79,77.35,3.87
2010-07-16,2010,7,16,Bengaluru,3.9403,23.02,82.29,3.34
2010-07-17,2010,7,17,Bengaluru,4.9037,22.47,80.66,4.3
2010-07-18,2010,7,18,Bengaluru,5.2277,23.23,77.13,4.21
2010-07-19,2010,7,19,Bengaluru,4.3406,23.55,80.59,4.33
2010-07-20,2010,7,20,Bengaluru,3.4138,22.94,79.74,5.72
2010-07-21,2010,7,21,Bengaluru,3.317,22.71,81.76,5.08
2010-07-22,2010,7,22,Bengaluru,2.9741,22.65,80.07,4.46
2010-07-23,2010,7,23,Bengaluru,5.1394,23.33,76.66,4.57
2010-07-24,2010,7,24,Bengaluru,3.1018,22.46,79.41,4.78
2010-07-25,2010,7,25,Bengaluru,3.9247,22.21,82.21,4.86
2010-07-26,2010,7,26,Bengaluru,3.5969,23.31,76.64,5.94
2010-07-27,2010,7,27,Bengaluru,4.1484,23.74,77.29,5.09
2010-07-28,2010,7,28,Bengaluru,3.4742,23.49,80.02,5.14
2010-07-29,2010,7,29,Bengaluru,3.4644,22.17,84.98,5.33
2010-07-30,2010,7,30,Bengaluru,3.8484,22.61,80.33,5.16
2010-07-31,2010,7,31,Bengaluru,4.5017,22.79,79.85,4.8
2010-08-01,2010,8,1,Bengaluru,4.5437,23.73,76.72,4.7
2010-08-02,2010,8,2,Bengaluru,4.7683,23.38,79.01,4.23
2010-08-03,2010,8,3,Bengaluru,4.2749,23.1,81.44,4.68
2010-08-04,2010,8,4,Bengaluru,3.1445,22.89,82.85,4.46
2010-08-05,2010,8,5,Bengaluru,5.219,23.63,79.29,3.91
2010-08-06,2010,8,6,Bengaluru,4.8559,23.94,75.97,4.31
2010-08-07,2010,8,7,Bengaluru,5.2814,24.13,77.86,3.54
2010-08-08,2010,8,8,Bengaluru,4.8883,23.74,79.9,3.63
2010-08-09,2010,8,9,Bengaluru,5.3537,24.23,76.48,3.95
2010-08-10,2010,8,10,Bengaluru,6.4274,24.23,73.71,4.08
2010-08-11,2010,8,11,Bengaluru,4.4959,24.46,75.46,4.1
2010-08-12,2010,8,12,Bengaluru,5.6765,23.17,83.98,3.51
2010-08-13,2010,8,13,Bengaluru,4.4506,24.22,76.69,3.17
2010-08-14,2010,8,14,Bengaluru,4.751,24.41,77.51,2.39
2010-08-15,2010,8,15,Bengaluru,2.681,22.97,85.33,1.9
2010-08-16,2010,8,16,Bengaluru,3.9221,23.15,86.13,2.7
2010-08-17,2010,8,17,Bengaluru,4.0618,22.91,79.82,3.76
2010-08-18,2010,8,18,Bengaluru,4.207,22.46,80.32,4.15
2010-08-19,2010,8,19,Bengaluru,4.579,22.95,79.47,3.16
2010-08-20,2010,8,20,Bengaluru,3.9468,22.1,88.51,2.33
2010-08-21,2010,8,21,Bengaluru,2.4502,22.38,89.0,1.85
2010-08-22,2010,8,22,Bengaluru,3.3744,22.24,88.27,2.26
2010-08-23,2010,8,23,Bengaluru,3.7524,22.55,87.68,3.16
2010-08-24,2010,8,24,Bengaluru,3.8258,22.26,89.18,3.84
2010-08-25,2010,8,25,Bengaluru,2.4833,21.72,85.67,4.07
2010-08-26,2010,8,26,Bengaluru,3.3226,22.4,85.26,3.28
2010-08-27,2010,8,27,Bengaluru,4.8002,22.82,85.81,3.4
2010-08-28,2010,8,28,Bengaluru,5.0458,23.61,84.4,3.37
2010-08-29,2010,8,29,Bengaluru,4.0896,22.66,87.6,3.48
2010-08-30,2010,8,30,Bengaluru,3.4613,21.54,89.43,4.31
2010-08-31,2010,8,31,Bengaluru,5.2502,21.75,81.58,4.93
2010-09-01,2010,9,1,Bengaluru,6.7762,22.85,80.23,3.9
2010-09-02,2010,9,2,Bengaluru,5.4672,22.83,82.05,3.55
2010-09-03,2010,9,3,Bengaluru,3.3521,22.43,83.86,3.86
2010-09-04,2010,9,4,Bengaluru,3.9838,22.59,82.3,3.65
2010-09-05,2010,9,5,Bengaluru,5.0352,22.41,83.42,3.65
2010-09-06,2010,9,6,Bengaluru,4.3493,22.92,80.38,4.11
2010-09-07,2010,9,7,Bengaluru,4.0147,22.08,84.7,3.99
2010-09-08,2010,9,8,Bengaluru,3.3912,22.86,81.82,4.36
2010-09-09,2010,9,9,Bengaluru,4.1004,22.66,84.68,3.0
2010-09-10,2010,9,10,Bengaluru,5.3798,22.76,84.76,2.69
2010-09-11,2010,9,11,Bengaluru,3.3665,22.37,83.17,2.69
2010-09-12,2010,9,12,Bengaluru,5.4434,22.42,84.82,2.59
2010-09-13,2010,9,13,Bengaluru,4.7926,22.32,82.37,2.9
2010-09-14,2010,9,14,Bengaluru,3.3818,22.0,84.0,3.27
2010-09-15,2010,9,15,Bengaluru,4.4215,20.98,87.84,3.3
2010-09-16,2010,9,16,Bengaluru,4.6805,22.21,83.09,3.59
2010-09-17,2010,9,17,Bengaluru,4.483,21.6,84.79,3.28
2010-09-18,2010,9,18,Bengaluru,4.3152,21.9,84.01,2.9
2010-09-19,2010,9,19,Bengaluru,6.2076,22.88,82.32,2.06
2010-09-20,2010,9,20,Bengaluru,6.413,23.36,78.64,1.44
2010-09-21,2010,9,21,Bengaluru,5.4881,23.03,85.35,0.79
2010-09-22,2010,9,22,Bengaluru,5.8723,23.07,84.31,0.93
2010-09-23,2010,9,23,Bengaluru,6.0317,23.21,83.41,1.12
2010-09-24,2010,9,24,Bengaluru,5.8721,23.65,80.75,0.65
2010-09-25,2010,9,25,Bengaluru,6.5928,23.31,85.05,0.73
2010-09-26,2010,9,26,Bengaluru,4.7227,23.38,85.37,1.51
2010-09-27,2010,9,27,Bengaluru,4.7189,23.18,85.61,2.71
2010-09-28,2010,9,28,Bengaluru,5.0801,22.6,87.17,2.73
2010-09-29,2010,9,29,Bengaluru,5.8248,22.17,85.17,2.04
2010-09-30,2010,9,30,Bengaluru,6.0526,22.93,80.41,1.75
2010-10-01,2010,10,1,Bengaluru,4.9658,22.5,85.42,1.73
2010-10-02,2010,10,2,Bengaluru,5.2541,22.71,86.62,1.74
2010-10-03,2010,10,3,Bengaluru,5.4888,22.61,86.75,1.73
2010-10-04,2010,10,4,Bengaluru,5.7955,23.29,82.3,0.89
2010-10-05,2010,10,5,Bengaluru,5.4576,24.31,80.11,0.67
2010-10-06,2010,10,6,Bengaluru,4.4842,23.0,89.06,2.13
2010-10-07,2010,10,7,Bengaluru,5.0558,23.26,82.3,2.11
2010-10-08,2010,10,8,Bengaluru,4.8014,23.17,86.08,1.15
2010-10-09,2010,10,9,Bengaluru,3.3451,23.09,84.87,1.86
2010-10-10,2010,10,10,Bengaluru,5.3014,23.0,85.35,1.64
2010-10-11,2010,10,11,Bengaluru,6.2184,22.61,86.64,2.0
2010-10-12,2010,10,12,Bengaluru,5.9378,22.39,82.75,1.95
2010-10-13,2010,10,13,Bengaluru,5.1763,22.19,86.92,1.44
2010-10-14,2010,10,14,Bengaluru,5.3642,22.17,86.86,1.6
2010-10-15,2010,10,15,Bengaluru,4.615,22.11,87.38,2.84
2010-10-16,2010,10,16,Bengaluru,5.9194,22.41,85.6,3.44
2010-10-17,2010,10,17,Bengaluru,6.1171,21.63,84.73,2.98
2010-10-18,2010,10,18,Bengaluru,5.9069,22.08,82.95,2.26
2010-10-19,2010,10,19,Bengaluru,6.1171,22.91,83.69,1.33
2010-10-20,2010,10,20,Bengaluru,4.8002,21.93,92.8,1.46
2010-10-21,2010,10,21,Bengaluru,4.8242,22.54,86.12,1.49
2010-10-22,2010,10,22,Bengaluru,4.4964,22.6,88.62,2.64
2010-10-23,2010,10,23,Bengaluru,4.3073,21.76,89.23,2.42
2010-10-24,2010,10,24,Bengaluru,5.6724,22.86,85.35,2.37
2010-10-25,2010,10,25,Bengaluru,5.7178,22.27,86.85,2.14
2010-10-26,2010,10,26,Bengaluru,3.3874,22.67,86.05,1.14
2010-10-27,2010,10,27,Bengaluru,2.8346,22.74,87.35,1.28
2010-10-28,2010,10,28,Bengaluru,4.5377,21.81,89.59,1.52
2010-10-29,2010,10,29,Bengaluru,4.5994,21.5,87.46,1.92
2010-10-30,2010,10,30,Bengaluru,2.7283,20.97,91.27,2.27
2010-10-31,2010,10,31,Bengaluru,3.4032,20.95,89.84,2.48
2010-11-01,2010,11,1,Bengaluru,2.9698,21.52,88.02,1.92
2010-11-02,2010,11,2,Bengaluru,4.1868,21.79,86.89,1.39
2010-11-03,2010,11,3,Bengaluru,3.7766,21.57,88.66,1.29
2010-11-04,2010,11,4,Bengaluru,3.9641,21.94,87.94,1.62
2010-11-05,2010,11,5,Bengaluru,4.6692,22.1,87.34,1.36
2010-11-06,2010,11,6,Bengaluru,3.9242,21.23,89.0,1.18
2010-11-07,2010,11,7,Bengaluru,0.9955,20.15,91.96,3.53
2010-11-08,2010,11,8,Bengaluru,3.2942,21.27,89.17,3.93
2010-11-09,2010,11,9,Bengaluru,3.5921,21.59,91.52,1.8
2010-11-10,2010,11,10,Bengaluru,4.8094,22.19,87.79,1.58
2010-11-11,2010,11,11,Bengaluru,4.0603,21.64,89.71,1.67
2010-11-12,2010,11,12,Bengaluru,4.6248,21.82,87.13,1.36
2010-11-13,2010,11,13,Bengaluru,5.3698,22.56,86.45,1.36
2010-11-14,2010,11,14,Bengaluru,5.1778,22.25,86.51,1.83
2010-11-15,2010,11,15,Bengaluru,4.35,22.11,85.45,1.44
2010-11-16,2010,11,16,Bengaluru,3.5239,21.44,89.61,2.32
2010-11-17,2010,11,17,Bengaluru,2.3222,21.5,90.65,4.03
2010-11-18,2010,11,18,Bengaluru,3.7418,20.96,88.24,2.97
2010-11-19,2010,11,19,Bengaluru,4.7122,20.75,87.48,2.11
2010-11-20,2010,11,20,Bengaluru,5.5382,21.16,81.77,1.39
2010-11-21,2010,11,21,Bengaluru,4.3754,21.57,87.05,1.33
2010-11-22,2010,11,22,Bengaluru,4.9102,21.06,84.89,1.45
2010-11-23,2010,11,23,Bengaluru,3.8806,21.67,84.95,1.66
2010-11-24,2010,11,24,Bengaluru,3.1757,21.13,85.81,2.27
2010-11-25,2010,11,25,Bengaluru,3.5522,20.94,88.03,2.01
2010-11-26,2010,11,26,Bengaluru,3.0674,20.38,87.04,2.45
2010-11-27,2010,11,27,Bengaluru,3.197,18.44,90.7,2.14
2010-11-28,2010,11,28,Bengaluru,3.06,20.66,87.57,2.77
2010-11-29,2010,11,29,Bengaluru,5.6059,20.75,84.82,2.7
2010-11-30,2010,11,30,Bengaluru,3.9958,20.75,85.51,3.29
2010-12-01,2010,12,1,Bengaluru,1.7976,20.77,89.23,2.83
2010-12-02,2010,12,2,Bengaluru,2.6486,20.9,89.13,2.79
2010-12-03,2010,12,3,Bengaluru,4.0534,20.42,86.64,2.59
2010-12-04,2010,12,4,Bengaluru,3.545,19.8,84.58,2.6
2010-12-05,2010,12,5,Bengaluru,3.9629,17.37,85.4,3.08
2010-12-06,2010,12,6,Bengaluru,2.7062,17.88,81.19,3.04
2010-12-07,2010,12,7,Bengaluru,3.0773,19.26,90.37,2.7
2010-12-08,2010,12,8,Bengaluru,4.5787,20.94,87.77,1.98
2010-12-09,2010,12,9,Bengaluru,4.7393,21.1,90.43,1.16
2010-12-10,2010,12,10,Bengaluru,4.86,20.98,84.99,2.04
2010-12-11,2010,12,11,Bengaluru,4.5319,20.75,82.92,1.57
2010-12-12,2010,12,12,Bengaluru,4.4299,20.58,81.43,1.59
2010-12-13,2010,12,13,Bengaluru,4.5098,20.21,83.09,0.92
2010-12-14,2010,12,14,Bengaluru,4.0579,20.93,87.2,1.71
2010-12-15,2010,12,15,Bengaluru,3.5059,21.36,87.53,2.14
2010-12-16,2010,12,16,Bengaluru,2.574,21.08,86.05,2.85
2010-12-17,2010,12,17,Bengaluru,3.1126,20.93,84.38,2.13
2010-12-18,2010,12,18,Bengaluru,4.2158,20.18,83.17,2.38
2010-12-19,2010,12,19,Bengaluru,4.4342,17.73,81.71,2.85
2010-12-20,2010,12,20,Bengaluru,3.3242,19.6,87.18,3.29
2010-12-21,2010,12,21,Bengaluru,5.4746,19.08,77.61,2.54
2010-12-22,2010,12,22,Bengaluru,5.9707,16.82,70.89,1.46
2010-12-23,2010,12,23,Bengaluru,5.8519,16.79,74.44,1.43
2010-12-24,2010,12,24,Bengaluru,5.221,17.31,77.49,1.7
2010-12-25,2010,12,25,Bengaluru,5.6652,18.03,76.94,1.82
2010-12-26,2010,12,26,Bengaluru,5.6587,18.49,77.47,1.89
2010-12-27,2010,12,27,Bengaluru,5.4326,18.19,77.5,2.16
2010-12-28,2010,12,28,Bengaluru,4.83,18.68,78.84,2.53
2010-12-29,2010,12,29,Bengaluru,3.4308,19.19,84.14,2.55
2010-12-30,2010,12,30,Bengaluru,5.178,19.91,80.28,2.37
2010-12-31,2010,12,31,Bengaluru,4.9987,19.84,77.66,1.63
2011-01-01,2011,1,1,Bengaluru,4.9855,21.34,76.75,1.53
